AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
11.038,1027.3,87.747,2.9169,23.72,1084.6,550.03,132.74,11.774,1.9812,74.345
11.868,1026.8,84.105,2.9599,24.084,1086,549.98,133.67,11.817,1.7273,74.548
11.918,1026.3,82.926,2.9606,24.012,1085.3,550.06,133.28,11.916,1.9835,75.881
12.244,1026,82.729,3.3391,27.358,1091.4,542.29,143.33,12.684,1.6719,71.263
12.276,1026,82.838,3.9917,33.112,1100,527.75,161.29,14.066,0.79442,60.815
12.228,1025.9,84.673,4.0548,33.46,1099.9,526.54,162.13,14.169,1.0251,60.618
11.078,1026,90.191,3.9884,33.065,1100,527.63,162.18,14.088,0.62802,59.621
10.716,1026,91.821,3.3138,27.176,1091.7,542.74,144.48,12.666,0.97182,70.06
10.608,1025.9,91.377,2.9614,24.068,1086.1,550.16,134.64,11.92,1.85,74.198
10.175,1025.7,91.811,2.9487,23.962,1085.2,550.15,134.13,11.819,1.8406,74.912
9.847,1025.6,92.779,2.9663,24.067,1085.8,550.06,134.69,11.848,2.2183,75.409
9.4774,1025.5,92.182,2.9122,23.805,1084.4,550,133.78,11.878,2.0484,76.025
8.3337,1025.2,91.009,2.9189,23.823,1084.8,550,134.55,11.893,1.7927,77.096
6.9791,1024.4,94.31,2.8932,23.654,1083.8,549.96,133.85,11.826,1.6652,76.933
6.6144,1023.9,95.827,2.9008,23.51,1083,549.99,133.35,11.8,1.7153,77.514
5.5557,1023.4,96.355,2.9768,23.818,1085.1,549.99,133.65,11.791,1.5609,81.173
5.3427,1022.6,98.024,2.8551,22.502,1069.5,545.18,125.56,11.374,3.4434,101.18
5.0937,1021.1,94.35,2.7639,21.584,1067.6,547.87,121.67,11.183,5.4361,112.08
5.2112,1020.8,94.386,2.9429,23.698,1084,549.91,133.62,11.758,1.7459,80.009
5.2298,1020.6,95.027,2.9815,23.914,1085.4,550.06,133.93,11.83,1.5653,79.611
5.4387,1020.2,95.475,2.8843,23.603,1083.4,549.98,133.98,11.737,1.8087,78.887
5.9632,1020,97.281,2.9356,23.781,1084.2,549.96,134.38,11.746,1.8001,77.685
7.9553,1019.6,90.277,2.9365,23.907,1084.7,549.93,133.85,11.796,1.4573,78.113
9.9108,1019,76.483,2.9716,24.001,1085.1,550.03,133.67,11.906,1.4886,78.256
10.999,1018,75.096,3.0086,24.114,1085.6,550.08,133.87,11.931,1.725,77.629
11.358,1016.9,85.646,3.05,24.198,1085.8,550,134.15,11.926,1.7327,77.007
11.768,1016.3,84.58,3.0576,24.137,1085.4,549.99,133.72,11.813,1.5762,75.261
12.048,1016,73.519,2.997,24.295,1086.2,549.8,134.35,11.987,1.5853,76.017
11.829,1015.6,72.669,2.97,24.262,1086,549.79,134.41,11.9,1.4425,77.731
11.129,1015.3,79.112,2.9604,23.967,1084.1,550.04,133.16,11.749,1.5911,75.735
11.175,1015.3,81.313,2.9572,24.086,1084.4,549.9,133.52,11.775,1.6681,75.367
11.087,1015.1,83.684,2.957,23.94,1083.7,549.93,132.92,11.746,2.1103,75.332
10.944,1015,85.647,2.9105,23.858,1083.1,549.85,132.44,11.71,1.6362,75.7
10.924,1014.6,87.156,2.9557,24.047,1084.3,549.75,133.48,11.798,1.7885,75.148
10.904,1014.2,91.365,2.96,23.828,1083.3,550.08,132.7,11.779,1.7192,73.745
10.623,1013.9,89.949,2.9491,23.808,1083.3,549.94,132.89,11.809,1.6305,74.059
10.405,1013.4,88.543,2.9303,23.767,1083.2,549.87,132.76,11.729,1.5869,73.917
10.224,1012.9,88.142,2.9556,23.725,1083.1,549.93,132.64,11.72,1.713,75.22
10.01,1012.7,86.073,2.9555,24,1084,549.94,133.32,11.849,1.6001,75.936
9.8399,1012.2,84.677,2.8306,23.03,1075.9,548.72,128.31,11.51,1.9994,79.617
8.9214,1011.8,87.487,2.4466,19.457,1039.3,538.84,109.51,10.489,10.114,95.848
8.7454,1011.6,87.523,2.9162,23.756,1082.6,549.96,132.63,11.659,1.7698,77.464
8.6333,1011.6,85.27,2.927,24.028,1084.2,550.01,134.07,11.707,1.2757,77.148
7.7695,1011.4,86.968,2.9013,23.69,1082.5,549.85,133.26,11.681,1.6211,77.651
6.8106,1011.4,90.405,2.8924,23.674,1083,550.08,133.81,11.684,1.8545,78.837
7.3928,1011.1,93.11,2.9411,23.983,1084.4,549.98,134.53,11.758,1.5036,77.132
8.5018,1010.8,92.356,2.9556,24.23,1085.4,549.96,134.88,11.87,1.4044,77.127
10.067,1010.1,82.502,3.0032,24.361,1085.7,550.04,134.71,11.807,1.2966,78.029
11.029,1008.9,74.781,3.0158,24.471,1086.1,549.95,134.77,11.892,1.4345,79.816
11.352,1008.1,69.216,3.0407,24.57,1086.6,549.97,135.11,11.918,1.4656,81.005
11.457,1007.7,71.858,3.0677,24.473,1086,550.07,134.67,11.959,1.4147,78.75
11.257,1007.3,73.739,3.055,24.535,1086.4,550.02,135.06,11.92,1.1967,77.324
11.203,1007.1,71.525,3.0176,24.39,1085.9,549.96,134.84,11.947,1.329,77.164
10.262,1006.8,79.766,3.0263,24.39,1085.6,549.97,135.04,11.788,1.4893,77.558
9.5049,1006.6,82.561,3.0428,24.514,1086.1,549.82,135.65,11.89,1.4507,77.451
9.6582,1006.5,82.833,2.9892,24.209,1084.6,549.9,134.35,11.767,1.5184,76.836
9.6626,1006.3,81.847,2.9796,24.316,1084.9,550.02,134.89,11.886,1.4746,77.159
9.3439,1006,83.201,2.9692,24.134,1084.1,550.03,134.2,11.843,1.8022,77.197
9.3887,1005.9,83.763,2.9635,24.212,1084.3,549.96,134.41,11.881,1.6817,77.362
9.2886,1005.7,84.755,3.0006,24.258,1084.6,549.82,134.53,11.879,1.5927,76.419
9.6012,1005.4,83.793,2.9542,24.009,1083.4,550.09,133.4,11.763,1.6222,75.647
9.261,1005.2,86.702,2.932,23.879,1083.6,549.9,133.64,11.81,1.744,76.438
8.9163,1005.2,92.487,2.589,20.881,1063.3,548.8,119.38,10.901,4.1242,77.684
9.0784,1005.3,92.174,2.4443,19.135,1045.4,544.25,109.76,10.497,8.2752,90.147
9.066,1005.1,91.653,2.4391,19.176,1048.4,545.92,110.62,10.434,7.3741,87.62
8.8977,1005.4,88.73,2.4448,19.124,1045.5,544.28,109.8,10.355,8.6383,94.16
8.5663,1006.1,94.787,2.4438,19.184,1045.7,543.98,110.12,10.371,8.2422,90.001
8.1624,1006.8,97.804,2.4059,19.135,1047.2,544.72,110.72,10.409,7.6046,87.249
7.7409,1007.6,96.115,2.4259,19.233,1043.3,541.59,110.28,10.421,9.047,90.33
7.7952,1008.4,92.454,2.4091,19.146,1041.5,540.83,109.66,10.406,9.6285,97.056
7.6934,1009,89.659,2.7162,22.12,1068.5,546.59,125.24,11.255,4.4873,86.977
7.8195,1009.1,85.226,2.9474,23.916,1084.8,550.03,134.7,11.798,1.4252,79.072
8.191,1008.8,80.591,2.9494,24.109,1085.8,549.86,135.5,11.839,1.5962,80.156
8.0929,1008.9,78.245,2.9391,24.066,1085.6,549.84,135.4,11.958,1.7561,80.493
7.8949,1009.2,76.889,2.914,23.838,1084.4,550,134.44,11.774,1.7315,80.347
7.7783,1009.3,75.156,2.9585,24.108,1086.2,550.11,136.03,11.826,1.4235,80.192
7.7281,1009.5,76.158,2.9377,23.949,1085.3,549.93,135.31,11.788,1.5224,78.296
7.5677,1009.4,76.834,2.9357,23.918,1085.2,549.88,135.34,11.778,1.5821,78.965
7.4083,1009.5,78.562,2.9373,23.849,1084.8,550.01,135.12,11.767,1.5226,77.908
7.3215,1009.5,79.369,2.9204,23.6,1083.3,549.89,133.95,11.718,1.7207,78.044
7.2845,1009.5,77.573,2.923,23.635,1083.4,549.92,133.99,11.723,1.7017,79.068
6.5083,1009.2,77.71,2.8759,23.476,1082.7,549.96,133.8,11.759,1.9172,80.571
5.6861,1009.2,81.04,2.8854,23.684,1084,549.98,135.13,11.822,1.8453,80.505
5.0519,1009.1,84.135,2.8738,23.266,1081.4,550.01,133.17,11.712,2.0247,80.498
5.0173,1008.9,84.058,2.8565,23.314,1081.8,550.01,133.43,11.697,1.8495,80.513
4.8323,1008.3,86.684,2.4689,19.908,1037,534.42,112.36,10.602,11.744,112.64
4.9313,1008.3,86.703,2.4071,19.167,1042.5,541.03,110.43,10.428,8.8767,116.42
5.5915,1007.5,81.52,2.3698,19.073,1039.9,539.68,109.41,10.405,10.754,119.07
5.3495,1007.1,83.545,2.3891,19.095,1042.1,540.91,110.19,10.398,10.101,114.94
5.3592,1007.4,85.779,2.4098,19.187,1039.7,539.05,109.9,10.447,10.843,114.78
5.276,1007.7,89.596,2.4661,19.372,1041.6,539.45,111.27,10.601,8.8617,114.01
5.3704,1007.7,89.677,4.0812,33.88,1100,525.13,166.67,14.231,0.64459,68.437
5.6515,1007.9,89.235,4.0028,33.176,1100.1,527.52,165.12,14.091,0.45737,67.408
6.1113,1008.3,87.573,3.9842,33.2,1100,527.34,165.31,14.108,0.58313,69.188
6.4186,1008.7,84.351,3.99,33.317,1099.8,526.66,165.84,14.155,0.5817,68.748
6.3373,1008.7,86.538,4.0336,33.705,1100,525.16,166.99,14.26,0.53826,66.148
5.6099,1009,90.514,3.9444,32.992,1100.1,527.49,165.92,14.084,0.5933,67.169
5.1341,1009.8,88.66,4.0122,33.689,1100.1,525.31,167.55,14.228,0.6023,67.035
4.9441,1010.4,86.596,4.0179,33.693,1100,525.14,167.74,14.248,0.48209,66.422
4.883,1011,85.495,4.0578,33.927,1099.8,524.27,168.23,14.328,0.74928,66.506
4.7918,1011.5,85.719,4.0341,33.711,1100,524.95,167.88,14.222,0.66632,65.803
4.6439,1012.3,85.151,4.0889,34.194,1099.9,523.24,169.05,14.359,0.44334,66.85
4.3341,1012.9,85.477,4.0198,33.657,1100,525.03,168.16,14.246,0.38869,66.79
3.8985,1013.6,86.896,4.0553,34.081,1100,523.52,169.21,14.336,0.85276,66.805
2.6081,1015.7,78.826,2.8079,23.181,1082.5,549.74,134.72,11.762,1.1972,80.474
2.2142,1015.8,78.031,2.7574,22.967,1081,549.75,133.51,11.679,2.3727,84.978
0.5037,1018.3,74.826,2.6499,21.465,1057.2,539.99,123.31,11.22,6.8082,109.56
0.88243,1018.6,74.349,4.1253,34.728,1099.9,520.59,170.88,14.549,0.66362,65.886
2.7833,1018.6,65.517,4.1274,34.738,1100,520.62,171.2,14.537,1.8945,71.362
3.264,1018.3,59.816,4.0826,34.235,1100,522.41,170,14.424,2.9316,75.037
3.4689,1018.4,60.945,4.1384,34.664,1100,521.29,170.57,14.537,3.3012,75.953
3.3969,1018.9,60.554,4.1144,34.473,1100,521.49,170.59,14.502,1.3162,64.422
3.0009,1019.2,63.303,4.1612,34.927,1100,520.24,171.59,14.545,0.83537,63.674
2.5837,1019.5,69.285,4.1318,34.704,1100.1,521.12,171.36,14.468,0.61275,62.218
2.5995,1019.7,71.028,4.1358,35.014,1100,520.33,171.72,14.544,1.2966,67.228
2.766,1019.9,70.993,4.0827,34.223,1100,522.93,170,14.374,1.274,67.874
2.7801,1020,68.901,4.1692,35.047,1099.9,519.83,171.88,14.629,1.305,67.671
2.4835,1020.1,67.658,4.082,34.34,1099.9,521.71,170.53,14.466,0.4737,67.354
2.351,1020.3,68.44,2.8119,22.842,1081.4,550.04,133.7,11.67,1.9949,87.959
2.2199,1020.4,69.721,2.8696,23.399,1084.4,549.81,136.23,11.808,1.88,88.231
2.204,1020,71.159,2.8401,23.13,1082.3,549.98,134.38,11.722,2.368,88.956
1.979,1019.6,72.834,2.8123,23.097,1082.5,549.96,134.53,11.784,2.5584,89.013
2.11,1019.6,68.371,2.715,22.083,1064.6,542.35,127.46,11.394,6.597,99.245
1.9991,1020.1,68.978,2.8169,23.247,1083.4,549.96,135.07,11.678,3.1459,91.952
1.3244,1020.4,75.972,2.8209,23.29,1083.7,549.96,135.51,11.773,3.1591,91.169
1.3457,1020.9,79.516,3.8324,32.234,1095.1,527.34,162.44,13.858,2.1684,74.869
1.8815,1020.9,76.636,4.1156,34.792,1100.1,521.2,171.12,14.496,1.5148,66.982
2.9509,1020.8,68.913,4.1542,34.859,1100,521.09,170.43,14.535,1.542,67.691
3.9392,1020.4,61.592,4.0945,34.126,1100.1,523.61,168.44,14.335,1.5687,69.574
4.752,1019.9,53.929,4.1544,34.686,1099.9,522.22,168.85,14.442,1.5799,68.831
5.2463,1019.5,50.754,4.0852,34.145,1100,523.98,167.73,14.341,1.4604,69.53
5.2847,1019.4,52.595,4.1335,34.382,1099.9,523.36,168,14.388,1.5121,69.747
5.2853,1019.5,54.737,4.1617,34.54,1100.1,522.84,168.4,14.381,0.68355,66.952
5.0382,1019.5,59.612,4.2048,34.96,1099.9,521.43,169.43,14.496,0.57362,66.141
4.1512,1019.7,65.041,4.1521,34.667,1100,522.4,169.35,14.471,0.7842,66.566
3.8601,1019.9,66.759,4.1604,34.854,1099.9,521.85,169.8,14.471,0.65836,66.8
3.9614,1020.1,67.321,4.084,34.312,1099.9,523.44,169.23,14.403,0.48512,65.936
3.1149,1020.2,71.61,4.1557,35.165,1099.9,520.62,171.57,14.6,0.41892,64.151
2.2148,1020.3,78.027,3.8327,32.357,1095.4,527.29,163.69,13.956,1.3438,69.385
1.4159,1020.3,82.448,2.8201,23.053,1081.1,550.06,134.12,11.692,3.3171,88.247
0.91479,1020.5,84.243,2.8932,23.414,1083.2,550.07,135.52,11.773,3.4151,89.977
0.78907,1020.2,85.298,2.9194,23.362,1082.9,550.04,133.63,11.778,2.9506,91.929
0.38289,1019.4,83.814,2.9945,23.771,1085.3,549.99,134.68,11.805,1.3781,90.322
0.28985,1019.5,83.574,4.0604,34.363,1099.9,523,170.5,14.367,0.08356,66.867
0.83101,1019.1,87.27,4.0885,34.148,1100.1,523.73,169.43,14.389,1.2741,68.388
2.8723,1018.7,85.891,4.1468,34.272,1099.9,523.37,168.06,14.39,1.1651,67.002
5.6257,1018.1,76.777,4.1326,33.134,1100.1,527.17,164.48,14.142,1.7273,71.283
6.9698,1017.2,64.966,4.1587,33.451,1099.9,526.15,164.9,14.204,1.1027,70.008
7.3949,1016.5,58.245,4.1163,33.096,1100.1,527.38,164.29,14.107,0.34013,69.959
7.6518,1016.1,56.189,4.1364,33.268,1100,526.91,164.23,14.119,0.63183,71.883
8.0064,1016,56.633,4.0799,33.052,1100.2,527.91,163.57,14.099,1.0993,72.307
7.8238,1015.6,59.256,4.1344,33.604,1099.8,525.95,165,14.17,1.7274,73.531
7.9215,1015,61.264,4.0507,32.784,1099.8,528.6,163.21,14.007,1.5464,72.968
7.7235,1014.8,67.64,4.1363,33.427,1099.8,526.44,164.61,14.143,1.4859,72.248
8.1751,1014.5,70.794,4.0503,32.603,1100.1,529.1,162.57,14.055,1.5825,71.849
8.8052,1014.4,73.945,4.1256,32.972,1099.9,527.86,162.99,14.07,1.5342,70.22
9.0001,1014.2,71.583,3.0638,23.456,1082.4,549.78,132.74,11.766,2.3944,81.63
9.2488,1013.9,70.332,3.1009,23.685,1083.9,549.8,133.53,11.806,1.9878,81.323
9.4672,1013.8,69.718,3.1268,23.824,1084.5,549.92,133.94,11.84,1.8706,82.162
9.673,1013.4,70.652,3.1113,23.629,1083.3,550.03,132.79,11.815,2.5635,82.72
10.02,1013,73.775,3.1234,23.643,1083.2,549.97,132.87,11.797,3.0236,82.367
10.392,1012.5,73,3.1601,23.795,1084.1,550.11,133.38,11.794,2.7331,81.496
10.503,1011.8,71.665,2.8224,21.115,1058.2,543.8,118.93,10.965,7.6128,92.086
10.237,1011.3,73.907,2.5584,19.163,1043.2,541.83,109.5,10.408,8.8529,91.247
10.443,1010.9,71.937,2.5709,19.143,1048,545.19,110.14,10.44,6.8646,85.454
10.714,1010.6,71.77,2.7423,20.644,1060.3,547.16,117.62,10.935,5.3648,86.759
11.088,1010.6,71.514,3.1333,23.882,1084.2,550.17,133.27,11.761,1.4735,81.687
11.491,1010.6,73.131,4.1615,32.739,1099.6,529.17,160.56,13.921,0.50839,70.596
11.355,1010.6,79.346,4.1464,32.491,1100.1,529.87,161.22,13.908,0.67369,70.274
10.578,1010.3,86.611,4.1288,32.056,1099.9,531.22,160.42,13.853,1.0961,69.767
10.586,1009.9,87.935,4.0975,31.88,1099.9,531.94,159.85,13.804,0.91231,70.809
11.679,1009,82.19,4.1311,32.085,1099.9,531.35,159.73,13.852,1.3123,73.022
12.095,1008.4,80.075,4.088,31.619,1100.1,532.95,158.75,13.749,1.5488,74.568
12.372,1007.8,79.341,4.1333,31.913,1099.9,532.06,159.17,13.763,1.6041,74.474
12.346,1007.5,83.946,4.183,32.414,1100,530.34,160.48,13.827,1.2386,71.463
11.922,1007.4,88.85,4.1332,32.172,1099.8,531.24,159.73,13.814,0.55441,68.935
11.915,1007.4,90.105,4.0675,31.85,1099.9,532.47,158.78,13.755,0.38977,68.987
12.417,1007.5,89.17,4.18,32.421,1100,530.57,159.84,13.866,0.58761,69.25
12.206,1007.5,90.45,4.1019,31.812,1099.9,532.59,158.78,13.76,0.47056,69.017
12.309,1007.8,88.439,4.0994,32.058,1100.1,531.76,159.06,13.784,0.46673,69.565
12.501,1007.9,87.732,4.0717,31.851,1099.8,532.47,158.51,13.743,0.56545,70.051
12.723,1008.1,87.728,3.1999,24.482,1085.6,549.33,134.88,11.982,1.8665,77.418
12.473,1008.3,88.703,3.1429,24.228,1085.6,550.11,134.36,11.915,2.0207,78.369
12.263,1008.4,90.852,3.1139,24.173,1085.2,549.72,134.02,11.906,2.2413,78.337
12.391,1008.5,91.876,3.1124,24.205,1085.3,550.01,133.8,11.857,2.543,77.333
11.944,1008.5,96.943,3.1323,24.275,1085.2,549.82,134,11.795,2.7532,77.318
11.858,1008.2,98.401,3.1278,24.221,1085.1,549.89,133.91,11.901,2.5616,77.212
11.804,1007.9,98.715,2.8023,21.562,1066.1,548.22,120.89,11.097,4.5645,80.148
11.751,1007.7,98.185,2.6,19.988,1056.1,548.55,113.56,10.691,6.0491,81.088
11.905,1007.8,98.964,3.0824,24.363,1084.9,549.92,133.65,11.74,1.845,76.097
11.648,1008,99.929,3.1086,24.532,1086.1,550.15,134.63,11.815,1.4908,74.401
11.637,1008.2,100.03,3.1002,24.342,1084.8,550.05,133.77,11.814,1.7137,74.794
11.943,1008.4,100.06,4.0569,32.633,1099.9,530.93,159.41,13.812,0.93308,68.527
12.691,1008.3,99.528,3.9423,31.673,1099.9,534.12,157.1,13.682,1.828,72.17
13.048,1007.9,95.938,3.9353,31.758,1099.9,533.6,157.38,13.738,1.9559,73.522
12.74,1007.2,97.026,3.9715,32.066,1100,532.7,158.45,13.756,2.018,71.742
11.983,1006.7,99.684,3.984,32.071,1099.8,532.64,158.49,13.784,1.3955,71.51
11.926,1006.5,100.14,3.9217,31.507,1100,534.54,157.35,13.645,1.4611,72.042
11.945,1007,100.15,3.9734,31.93,1099.8,533.27,158.19,13.672,1.2858,70.231
11.108,1007.8,99.475,3.992,32.337,1100.1,530.82,160.86,13.884,1.2298,69.505
9.6779,1008.6,99.591,4.0094,32.876,1099.9,528.72,162.75,13.984,1.2966,69.442
8.8837,1009.3,97.097,3.9613,32.69,1100,529.05,162.97,13.987,1.2876,69.206
7.6507,1010,93.603,2.88,23.638,1083.1,549.56,134.07,11.786,2.25,81.52
6.7755,1011.3,94.383,2.8638,23.294,1081.8,549.89,133.08,11.778,2.4573,82.309
6.643,1012.9,94.272,2.8595,23.211,1081.5,549.88,132.71,11.734,2.7085,83.491
6.4192,1013.7,95.937,2.8949,23.447,1082.9,549.93,133.78,11.804,2.7996,84.235
6.5949,1014.5,95.204,2.9381,23.679,1083.9,550.02,134.55,11.844,2.6451,84.407
6.697,1015.5,94.679,2.917,23.509,1082.6,549.94,133.42,11.697,2.6743,84.549
6.6897,1016.1,93.169,2.8923,23.441,1082.2,550.06,133.07,11.75,2.8223,84.402
6.7017,1016.8,93.594,2.9359,23.757,1084.2,550.03,134.48,11.856,2.6912,83.624
6.4134,1017.2,94.295,2.5788,20.181,1042.5,537.18,113.67,10.696,12.594,99.297
6.4121,1017.5,94.199,2.5415,19.809,1032.4,532.2,110.24,10.574,14.235,111.12
6.625,1018.2,92.739,2.5349,19.749,1031.2,531.63,109.62,10.529,14.475,117.08
7.3044,1020.6,86.279,2.681,21.184,1062.3,545.68,120.07,11.051,6.4555,117.73
7.1199,1021.3,85.316,2.919,23.681,1084.3,549.95,133.97,11.766,2.032,83.099
7.171,1021.7,85.437,4.0794,33.847,1098.5,524.31,164.13,14.206,1.9503,68.818
7.6563,1021.5,84.903,4.0586,33.603,1100,525.91,164.47,14.136,2.0865,67.506
8.0713,1021.4,83.671,4.0746,33.573,1100.1,526.16,164.22,14.205,1.8375,68.378
8.2581,1021.5,83.087,4.0457,33.208,1100,527.33,163.13,14.122,1.5867,68.491
8.452,1021.9,82.825,4.045,33.107,1099.9,527.5,162.78,14.111,1.6546,69.431
8.7767,1022.3,82.746,4.0649,33.215,1100,527.09,162.95,14.171,1.7154,68.789
9.0018,1022.6,82.198,3.0364,24.11,1085.7,549.53,134.77,11.887,2.154,80.467
9.0875,1023,80.787,3.7968,30.836,1094.8,532.18,154.53,13.521,1.6612,71.717
8.7419,1023.1,84.087,4.1033,33.53,1100.1,526.11,163.59,14.262,1.1431,64.911
8.2158,1022.9,85.567,4.1251,33.873,1099.8,524.9,164.94,14.252,0.63445,62.691
8.0574,1022.8,86.313,3.2454,26.231,1088.8,544.23,141.78,12.426,1.2693,76.35
7.927,1023,85.489,2.9345,23.713,1084.1,550.04,133.65,11.843,1.7951,80.925
7.7785,1023.1,85.809,2.9694,23.739,1084.2,550.07,133.73,11.854,2.5197,83.333
7.428,1023.1,87.069,2.9135,23.559,1083.2,550.09,133.13,11.752,2.8504,84.487
7.2367,1023.1,88.205,2.9414,23.661,1083.8,549.99,133.5,11.82,2.9417,84.701
7.1881,1023.4,89.301,2.9531,23.782,1084.4,550,134.06,11.85,2.4579,84.056
7.0752,1023.6,89.853,2.8889,23.266,1081.5,550.08,131.7,11.679,2.9371,84.283
6.3262,1023.2,91.413,2.6907,21.376,1052.8,538.84,119.87,11.073,9.1246,105.53
