co_ppm,nox_detrended_ppm,tit_c,tey_mw,regime
4.427,50.772,1058.6,109.48,transition
5.738,77.238,1047.5,110.6,part_load
0.925,63.428,1088.1,134.15,normal
1.86,65.136,1072.4,122.76,transition
1.593,60.458,1088.3,134.03,normal
0.867,56.719,1076.8,128.99,normal
1.963,64.707,1074.2,127.74,transition
23.758,92.747,1018.9,104.42,part_load
4.009,55.278,1059.4,109.37,transition
0.46,47.725,1099.9,165.41,high_fire
2.93,56.205,1052.8,110.89,transition
8.638,83.021,1045.5,109.8,part_load
12.538,106.17,1018.6,103.99,part_load
0.77,70.986,1100.1,156.95,high_fire
5.473,58.94,1049.1,104.02,part_load
0.32,74.067,1089.7,132.54,normal
1.402,66.915,1079.0,134.19,normal
3.421,53.494,1048.9,109.28,part_load
1.142,65.607,1088.6,133.72,normal
1.779,75.667,1092.0,134.06,normal
2.069,62.644,1087.2,131.68,normal
2.086,63.715,1071.5,123.13,transition
1.822,60.117,1077.3,128.7,normal
1.81,64.256,1081.5,133.1,normal
0.742,53.472,1099.8,159.6,high_fire
3.01,60.239,1071.2,119.07,transition
1.831,61.913,1079.1,128.58,normal
1.218,60.982,1083.3,132.21,normal
0.94,65.941,1099.9,150.91,high_fire
1.079,79.1,1100.0,155.55,high_fire
8.061,76.274,1049.8,108.12,part_load
2.5,74.563,1063.6,122.92,transition
1.0,66.362,1099.8,155.35,high_fire
1.694,63.759,1087.5,134.78,normal
2.334,71.952,1063.2,122.16,transition
7.553,88.899,1044.5,110.27,part_load
9.176,85.272,1044.0,109.38,part_load
7.972,64.616,1087.8,133.49,normal
2.05,66.863,1089.5,134.18,normal
1.502,56.005,1073.7,131.28,transition
4.567,57.451,1054.6,107.53,transition
4.971,65.081,1048.6,110.24,part_load
0.825,58.283,1086.8,133.33,normal
4.668,60.498,1062.6,114.6,transition
2.992,50.663,1051.1,106.8,transition
1.274,69.298,1088.8,132.56,normal
7.234,82.53,1040.0,109.25,part_load
2.667,51.838,1043.0,108.95,part_load
2.238,65.172,1079.5,128.18,normal
1.235,65.26,1087.5,131.85,normal
12.213,72.121,1037.4,105.03,part_load
1.444,64.278,1077.3,127.0,normal
12.208,103.853,1026.7,105.36,part_load
0.722,71.783,1100.0,151.83,high_fire
10.54,93.568,1043.7,109.59,part_load
1.337,68.861,1099.9,157.13,high_fire
5.456,77.538,1047.0,110.4,part_load
7.374,76.498,1048.4,110.62,part_load
1.528,63.217,1073.3,127.5,transition
2.185,62.289,1068.3,121.93,transition
8.578,91.233,1032.6,105.99,part_load
29.307,100.929,1006.5,100.03,part_load
2.355,65.478,1074.1,126.55,transition
1.776,62.393,1074.5,128.24,transition
5.161,67.95,1048.2,109.56,part_load
1.421,58.177,1086.0,133.35,normal
3.942,58.913,1054.4,111.05,transition
6.04,86.445,1036.7,107.67,part_load
1.359,68.311,1091.9,133.12,normal
1.387,66.611,1094.9,133.22,normal
0.878,83.334,1099.9,156.52,high_fire
0.914,66.758,1100.2,165.47,high_fire
4.569,67.784,1051.0,110.02,transition
8.335,76.016,1047.0,110.21,part_load
1.888,76.227,1085.8,134.6,normal
4.651,64.76,1056.4,110.65,transition
1.807,68.384,1099.5,145.31,high_fire
4.308,49.367,1059.2,109.97,transition
4.983,86.846,1043.7,108.8,part_load
8.681,94.38,1047.0,108.96,part_load
1.69,71.771,1090.3,134.19,normal
0.443,55.15,1100.0,148.46,high_fire
2.748,74.245,1083.8,134.23,normal
2.106,68.448,1072.2,123.92,transition
1.381,60.346,1087.8,133.62,normal
1.004,65.714,1100.1,154.49,high_fire
4.181,54.963,1056.1,110.16,transition
1.443,67.682,1099.9,152.84,high_fire
1.241,52.596,1069.8,128.15,transition
5.692,60.333,1052.7,109.08,transition
0.669,51.62,1099.9,162.96,high_fire
1.346,64.282,1082.8,133.8,normal
1.869,55.954,1077.3,127.26,normal
1.549,65.429,1099.9,162.12,high_fire
1.914,68.175,1087.4,132.84,normal
2.268,66.19,1067.6,120.47,transition
1.37,60.471,1099.9,161.27,high_fire
3.424,61.958,1043.7,110.03,part_load
1.089,61.02,1086.2,134.24,normal
3.934,65.429,1052.8,110.31,transition
1.634,59.591,1079.1,131.02,normal
1.565,65.089,1090.0,133.92,normal
2.682,58.276,1066.8,120.02,transition
1.347,74.326,1089.5,137.12,normal
1.391,62.342,1085.6,133.08,normal
2.83,57.334,1100.2,156.15,high_fire
9.3,73.575,1047.6,108.52,part_load
5.657,60.092,1037.2,101.46,part_load
3.847,52.896,1056.3,108.97,transition
1.117,60.734,1100.0,152.44,high_fire
2.918,74.559,1063.8,122.4,transition
1.26,58.43,1087.3,133.54,normal
2.11,65.502,1068.9,122.07,transition
0.038,58.637,1069.2,126.53,transition
4.44,67.389,1051.2,111.53,transition
5.738,80.097,1045.6,108.58,part_load
8.561,106.925,1039.4,102.7,part_load
7.811,81.608,1048.7,109.61,part_load
9.281,93.324,1044.3,108.95,part_load
1.585,61.378,1076.4,129.09,normal
5.801,67.633,1047.9,109.12,part_load
4.612,61.642,1057.8,110.41,transition
1.733,67.983,1091.5,133.95,normal
0.453,70.077,1092.9,133.53,normal
8.978,76.956,1049.1,113.92,part_load
1.385,64.85,1099.5,146.95,high_fire
1.676,66.282,1078.8,133.7,normal
1.231,74.876,1100.1,159.75,high_fire
1.79,70.98,1085.4,134.27,normal
1.499,68.548,1080.6,134.69,normal
3.14,51.041,1048.1,104.45,part_load
1.818,70.105,1080.4,129.2,normal
2.033,60.009,1095.5,155.34,high_fire
11.016,98.712,1042.0,109.82,part_load
4.859,69.153,1049.8,109.44,part_load
5.544,75.989,1044.8,102.53,part_load
0.888,51.466,1100.0,161.84,high_fire
4.86,63.524,1053.0,108.54,transition
3.007,59.653,1065.8,115.55,transition
5.898,75.785,1058.7,108.94,transition
1.6,60.497,1067.4,127.21,transition
2.089,75.784,1080.5,130.26,normal
1.783,52.251,1072.0,122.16,transition
1.89,65.879,1087.1,132.21,normal
13.225,121.198,1022.9,101.34,part_load
7.605,76.076,1047.2,110.72,part_load
1.472,73.817,1100.0,154.26,high_fire
1.256,62.802,1089.8,135.04,normal
1.503,65.34,1099.9,145.91,high_fire
1.319,65.845,1099.9,145.64,high_fire
1.399,62.513,1100.1,161.52,high_fire
2.315,69.65,1073.0,123.31,transition
1.408,87.648,1099.7,153.35,high_fire
2.474,50.616,1043.8,108.35,part_load
1.205,68.935,1100.0,148.83,high_fire
1.346,71.737,1100.0,146.22,high_fire
1.368,55.519,1061.6,122.73,transition
11.816,78.514,1040.1,110.59,part_load
2.017,51.58,1046.9,111.01,part_load
1.689,66.023,1078.9,132.71,normal
4.647,64.816,1051.7,109.91,transition
1.185,57.953,1081.4,134.55,normal
1.717,69.591,1089.3,134.76,normal
1.695,65.679,1076.5,128.56,normal
1.735,69.106,1079.5,127.54,normal
1.486,60.562,1075.8,127.78,normal
0.385,52.532,1099.9,168.27,high_fire
6.417,72.823,1042.1,103.47,part_load
1.65,69.941,1081.3,135.2,normal
1.103,72.431,1099.8,161.25,high_fire
2.943,67.585,1065.2,122.71,transition
5.29,80.008,1037.9,109.34,part_load
3.971,70.297,1057.4,115.35,transition
0.474,55.368,1099.9,170.53,high_fire
2.05,55.819,1100.0,159.61,high_fire
1.193,75.644,1100.0,155.18,high_fire
3.404,57.64,1050.1,109.57,transition
1.938,56.687,1078.2,128.23,normal
5.845,72.257,1047.5,109.36,part_load
0.882,65.492,1090.2,133.13,normal
1.15,63.766,1099.9,152.9,high_fire
0.594,62.998,1099.3,143.8,high_fire
1.363,55.76,1074.0,131.58,transition
17.517,78.54,1032.2,103.24,part_load
9.047,79.14,1043.3,110.28,part_load
8.454,87.275,1047.8,109.05,part_load
10.463,98.172,1042.1,109.32,part_load
10.678,99.483,1038.3,103.48,part_load
1.791,60.295,1080.2,129.76,normal
0.047,95.068,1029.2,108.18,part_load
4.541,53.86,1059.4,110.75,transition
3.814,73.124,1061.3,118.48,transition
6.049,68.059,1056.1,113.56,transition
1.559,59.639,1080.4,128.47,normal
1.766,62.721,1095.4,151.23,high_fire
4.049,51.165,1058.7,109.86,transition
10.336,87.518,1042.5,110.23,part_load
2.76,69.756,1068.3,123.74,transition
6.747,68.779,1052.3,109.19,transition
3.977,78.916,1048.7,111.63,part_load
1.258,67.381,1093.7,134.54,normal
3.344,56.111,1050.3,106.86,transition
1.872,61.974,1077.3,128.39,normal
0.544,61.259,1074.6,133.6,transition
4.851,71.398,1048.8,109.29,part_load
0.852,59.836,1099.9,158.53,high_fire
7.422,65.999,1049.1,110.95,part_load
4.952,76.977,1046.6,108.71,part_load
1.919,62.929,1066.4,122.61,transition
4.567,62.942,1052.5,110.74,transition
4.358,77.896,1055.1,116.44,transition
1.85,67.899,1077.3,128.2,normal
1.394,71.232,1090.9,133.92,normal
3.267,66.525,1084.4,134.58,normal
2.824,61.167,1100.1,158.55,high_fire
2.083,65.18,1063.4,121.11,transition
1.997,62.148,1077.9,134.67,normal
1.52,61.354,1072.4,123.03,transition
1.815,58.365,1070.4,121.74,transition
1.624,64.564,1090.3,136.6,normal
1.254,60.892,1088.7,134.27,normal
11.058,93.237,1042.0,109.08,part_load
1.917,62.678,1073.2,127.69,transition
1.063,75.045,1095.3,134.76,high_fire
1.566,73.803,1100.0,154.61,high_fire
1.146,67.11,1099.9,147.03,high_fire
0.727,54.973,1100.0,147.98,high_fire
3.537,61.358,1071.8,130.78,transition
1.054,65.755,1099.9,149.87,high_fire
1.049,78.864,1100.0,155.33,high_fire
19.318,86.202,1028.7,107.94,part_load
1.746,71.702,1093.0,143.59,normal
1.378,56.961,1077.9,133.65,normal
9.586,88.781,1041.1,109.43,part_load
1.035,63.772,1099.9,151.03,high_fire
1.088,64.711,1088.5,134.78,normal
3.194,62.717,1064.2,119.16,transition
4.143,53.46,1059.5,109.21,transition
1.504,63.194,1099.9,161.42,high_fire
4.767,60.166,1057.1,110.39,transition
1.108,62.855,1083.5,132.28,normal
0.92,68.7,1089.8,138.54,normal
5.165,69.698,1049.1,109.77,part_load
1.38,66.126,1093.6,144.01,normal
3.88,67.575,1044.0,107.47,part_load
3.336,65.935,1064.9,119.68,transition
4.893,64.26,1045.3,104.63,part_load
1.354,77.651,1099.2,146.1,high_fire
7.885,90.919,1034.4,107.35,part_load
3.18,53.735,1068.2,116.83,transition
1.964,61.83,1064.7,122.65,transition
2.164,61.115,1069.4,121.61,transition
3.409,59.145,1044.9,111.1,part_load
1.196,66.606,1100.1,151.84,high_fire
1.108,51.579,1100.0,161.02,high_fire
6.181,81.058,1041.0,108.94,part_load
7.527,82.945,1059.0,120.74,transition
10.206,91.986,1041.8,108.56,part_load
3.112,59.853,1059.9,114.78,transition
2.313,61.78,1066.7,121.12,transition
2.668,59.697,1067.4,121.1,transition
2.322,50.914,1048.6,109.11,part_load
4.737,63.692,1053.5,109.43,transition
1.222,76.494,1098.6,141.05,high_fire
8.275,75.797,1030.1,103.44,part_load
4.042,56.892,1057.9,109.04,transition
7.625,80.784,1046.7,104.87,part_load
1.259,64.121,1099.9,146.64,high_fire
2.773,63.861,1050.7,117.0,transition
0.424,52.318,1100.0,159.57,high_fire
4.385,69.886,1039.3,108.96,part_load
1.726,75.553,1067.8,126.12,transition
1.549,68.585,1085.7,134.97,normal
1.047,72.437,1100.0,162.99,high_fire
3.092,50.743,1056.4,109.12,transition
1.657,60.458,1089.6,133.07,normal
1.73,78.377,1096.5,141.69,high_fire
10.624,88.975,1046.8,109.09,part_load
4.936,69.454,1049.7,109.83,part_load
1.861,68.704,1100.0,145.91,high_fire
2.017,63.34,1063.6,121.09,transition
5.437,77.698,1046.2,109.83,part_load
8.977,82.876,1047.2,108.55,part_load
6.344,99.393,1059.2,113.53,transition
0.776,76.936,1098.6,134.8,high_fire
1.843,54.339,1079.2,134.68,normal
10.703,91.885,1038.7,109.26,part_load
4.915,74.353,1039.8,103.94,part_load
5.341,68.067,1048.8,109.99,part_load
5.739,72.852,1068.5,124.99,transition
1.432,64.781,1095.1,141.99,high_fire
1.619,63.845,1084.3,132.24,normal
1.342,70.18,1100.1,156.71,high_fire
6.23,79.324,1041.4,109.08,part_load
1.154,63.016,1076.8,134.75,normal
1.176,62.979,1098.8,145.17,high_fire
4.061,75.996,1065.5,124.31,transition
1.039,65.373,1088.7,132.52,normal
1.31,66.669,1099.9,147.12,high_fire
3.848,54.354,1058.0,109.01,transition
1.177,59.557,1076.4,133.4,normal
1.82,73.323,1099.9,152.68,high_fire
8.488,82.291,1048.5,109.09,part_load
3.145,75.278,1064.4,121.66,transition
1.86,67.096,1090.8,134.71,normal
6.514,90.482,1044.9,110.83,part_load
8.877,104.93,1042.5,110.43,part_load
6.716,68.332,1049.5,109.6,part_load
1.718,67.856,1084.5,134.45,normal
0.98,57.617,1098.7,145.61,high_fire
4.067,73.575,1058.1,114.06,transition
2.136,59.488,1062.8,122.42,transition
4.962,71.416,1048.8,109.39,part_load
1.266,69.984,1100.0,150.14,high_fire
1.815,70.922,1076.9,133.45,normal
0.111,94.689,1031.4,107.91,part_load
4.156,87.332,1061.9,124.62,transition
2.395,61.894,1080.9,136.96,normal
1.721,66.511,1083.6,129.22,normal
1.193,71.462,1092.7,134.03,normal
5.826,75.899,1053.4,109.42,transition
2.159,63.418,1072.9,123.13,transition
1.799,72.22,1100.1,163.71,high_fire
12.659,76.386,1043.6,113.22,part_load
12.68,90.839,1037.0,108.83,part_load
13.075,93.637,1018.9,103.63,part_load
1.127,61.175,1088.8,133.56,normal
7.118,108.386,1042.4,108.34,part_load
1.409,68.273,1079.4,134.8,normal
5.332,70.619,1046.8,109.74,part_load
5.996,68.04,1043.5,104.48,part_load
4.937,68.914,1044.0,108.81,part_load
5.005,51.438,1057.2,109.21,transition
1.256,54.265,1077.8,133.25,normal
7.146,89.906,1035.0,103.52,part_load
1.867,46.37,1100.0,159.35,high_fire
3.151,64.838,1062.7,122.22,transition
1.601,66.896,1086.2,132.92,normal
9.456,84.111,1048.4,116.42,part_load
1.329,66.726,1100.1,155.58,high_fire
3.136,61.65,1085.9,134.34,normal
1.35,60.321,1078.6,134.73,normal
3.032,64.685,1063.6,118.65,transition
1.339,72.94,1099.9,155.35,high_fire
2.15,64.806,1082.1,134.82,normal
1.23,66.45,1099.9,157.49,high_fire
2.616,59.979,1067.3,120.75,transition
8.278,75.761,1046.9,110.5,part_load
11.989,100.055,1037.0,110.08,part_load
0.928,60.829,1079.2,127.86,normal
1.064,54.277,1099.9,162.43,high_fire
1.897,61.592,1087.5,132.36,normal
1.125,58.948,1100.1,148.57,high_fire
0.492,68.884,1095.7,134.33,high_fire
0.929,67.324,1100.1,153.99,high_fire
4.195,77.477,1041.4,107.55,part_load
0.662,57.25,1099.8,154.1,high_fire
1.505,70.354,1072.4,130.04,transition
4.936,55.677,1055.3,108.53,transition
2.247,66.66,1084.3,132.55,normal
1.68,64.699,1100.0,168.12,high_fire
1.822,69.106,1092.5,131.03,normal
2.405,72.561,1063.1,122.02,transition
6.757,85.857,1035.9,103.14,part_load
0.864,54.544,1078.7,134.22,normal
0.969,64.065,1069.7,126.81,transition
1.654,65.23,1090.1,133.46,normal
1.338,63.796,1100.0,160.98,high_fire
1.05,66.04,1080.1,134.05,normal
7.76,73.865,1049.0,107.52,part_load
2.625,75.284,1082.4,133.18,normal
1.884,64.882,1074.6,123.74,transition
0.942,49.431,1099.9,159.52,high_fire
2.441,62.221,1068.1,122.12,transition
1.087,79.711,1100.1,155.38,high_fire
16.883,111.059,1024.9,105.52,part_load
2.861,52.611,1068.6,114.58,transition
13.05,84.01,1037.4,109.43,part_load
1.114,78.033,1099.9,154.17,high_fire
1.569,60.671,1083.5,133.45,normal
25.865,106.417,1007.9,101.26,part_load
7.336,95.879,1047.0,109.18,part_load
